	ECO Code	Name	Opening Moves
406	E06	Catalan, Closed, 5.Nf3	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3
407	E07	Catalan, Closed	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3 O-O 6. O-O Nbd7
408	E08	Catalan, Closed	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3 O-O 6. O-O Nbd7 7. Qc2
409	E09	Catalan, Closed	1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 Be7 5. Nf3 O-O 6. O-O Nbd7 7. Qc2 c6 8. Nbd2
410	E10	Queen's Pawn Game	1. d4 Nf6 2. c4 e6 3. Nf3
411	E11	Bogo-Indian Defense	1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+
412	E12	Queen's Indian	1. d4 Nf6 2. c4 e6 3. Nf3 b6
413	E13	Queen's Indian, 4.Nc3, Main line	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. Nc3 Bb7 5. Bg5 h6 6. Bh4 Bb4
414	E14	Queen's Indian	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. e3
415	E15	Queen's Indian	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3
416	E16	Queen's Indian	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Bb4+
417	E17	Queen's Indian	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7
418	E18	Queen's Indian, Old Main line, 7.Nc3	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. O-O O-O 7. Nc3
419	E19	Queen's Indian, Old Main line, 9.Qxc3	1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Be7 6. O-O O-O 7. Nc3 Ne4 8. Qc2 Nxc3
420	E20	Nimzo-Indian	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4
421	E21	Nimzo-Indian, Three Knights	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Nf3
422	E22	Nimzo-Indian, Spielmann Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qb3
423	E23	Nimzo-Indian, Spielmann	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qb3 c5 5. dxc5 Nc6
424	E24	Nimzo-Indian, Samisch	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3
425	E25	Nimzo-Indian, Samisch	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 c5 6. f3 d5 7. cxd5
426	E26	Nimzo-Indian, Samisch	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 c5 6. e3
427	E27	Nimzo-Indian, Samisch Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 O-O
428	E28	Nimzo-Indian, Samisch Variation	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 O-O 6. e3
429	E29	Nimzo-Indian, Samisch	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 O-O 6. e3 c5 7. Bd3 Nc6
430	E30	Nimzo-Indian, Leningrad	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Bg5
431	E31	Nimzo-Indian, Leningrad, Main line	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Bg5 h6 5. Bh4 c5 6. d5 d6
432	E32	Nimzo-Indian, Classical	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2
433	E33	Nimzo-Indian, Classical	1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 Nc6
