	ECO Code	Name	Opening Moves
0	A00	Uncommon Opening	1. g4, a3, h3, etc.
1	A01	Nimzovich-Larsen Attack	1. b3
2	A02	Bird's Opening	1. f4
3	A03	Bird's Opening	1. f4 d5
4	A04	Reti Opening	1. Nf3
5	A05	Reti Opening	1. Nf3 Nf6
6	A06	Reti Opening	1. Nf3 d5
7	A07	King's Indian Attack	1. Nf3 d5 2. g3
8	A08	King's Indian Attack	1. Nf3 d5 2. g3 c5 3. Bg2
9	A09	Reti Opening	1. Nf3 d5 2. c4
10	A10	English	1. c4
11	A11	English, Caro-Kann Defensive System	1. c4 c6
12	A12	English with b3	1. c4 c6 2. Nf3 d5 3. b3
13	A13	English	1. c4 e6
14	A14	English	1. c4 e6 2. Nf3 d5 3. g3 Nf6 4. Bg2 Be7 5. O-O
15	A15	English	1. c4 Nf6
16	A16	English	1. c4 Nf6 2. Nc3
17	A17	English	1. c4 Nf6 2. Nc3 e6
18	A18	English, Mikenas-Carls	1. c4 Nf6 2. Nc3 e6 3. e4
19	A19	English, Mikenas-Carls, Sicilian Variation	1. c4 Nf6 2. Nc3 e6 3. e4 c5
20	A20	English	1. c4 e5
21	A21	English	1. c4 e5 2. Nc3
22	A22	English	1. c4 e5 2. Nc3 Nf6
23	A23	English, Bremen System, Keres Variation	1. c4 e5 2. Nc3 Nf6 3. g3 c6
24	A24	English, Bremen System with ...g6	1. c4 e5 2. Nc3 Nf6 3. g3 g6
25	A25	English	1. c4 e5 2. Nc3 Nc6
26	A26	English	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6
27	A27	English, Three Knights System	1. c4 e5 2. Nc3 Nc6 3. Nf3
28	A28	English	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6
29	A29	English, Four Knights, Kingside Fianchetto	1. c4 e5 2. Nc3 Nc6 3. Nf3 Nf6 4. g3
30	A30	English, Symmetrical	1. c4 c5
31	A31	English, Symmetrical, Benoni Formation	1. c4 c5 2. Nf3 Nf6 3. d4
32	A32	English, Symmetrical Variation	1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6
33	A33	English, Symmetrical	1. c4 c5 2. Nf3 Nf6 3. d4 cxd4 4. Nxd4 e6 5. Nc3 Nc6
34	A34	English, Symmetrical	1. c4 c5 2. Nc3
35	A35	English, Symmetrical	1. c4 c5 2. Nc3 Nc6
36	A36	English	1. c4 c5 2. Nc3 Nc6 3. g3
37	A37	English, Symmetrical	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3
38	A38	English, Symmetrical	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6
39	A39	English, Symmetrical, Main line with d4	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. d4
40	A40	Queen's Pawn Game	1. d4
41	A41	Queen's Pawn Game (with ...d6)	1. d4 d6
42	A42	Modern Defense, Averbakh System	1. d4 d6 2. c4 g6 3. Nc3 Bg7 4. e4
43	A43	Old Benoni	1. d4 c5
44	A44	Old Benoni Defense	1. d4 c5 2. d5 e5
45	A45	Queen's Pawn Game	1. d4 Nf6
46	A46	Queen's Pawn Game	1. d4 Nf6 2. Nf3
47	A47	Queen's Indian	1. d4 Nf6 2. Nf3 b6
48	A48	King's Indian	1. d4 Nf6 2. Nf3 g6
49	A49	King's Indian, Fianchetto without c4	1. d4 Nf6 2. Nf3 g6 3. g3
50	A50	Queen's Pawn Game	1. d4 Nf6 2. c4
51	A51	Budapest Gambit	1. d4 Nf6 2. c4 e5
52	A52	Budapest Gambit	1. d4 Nf6 2. c4 e5 3. dxe5 Ng4
53	A53	Old Indian	1. d4 Nf6 2. c4 d6
54	A54	Old Indian, Ukrainian Variation, 4.Nf3	1. d4 Nf6 2. c4 d6 3. Nc3 e5 4. Nf3
55	A55	Old Indian, Main line	1. d4 Nf6 2. c4 d6 3. Nc3 e5 4. Nf3 Nbd7 5. e4
56	A56	Benoni Defense	1. d4 Nf6 2. c4 c5
57	A57	Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5
58	A58	Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6
59	A59	Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4
60	A60	Benoni Defense	1. d4 Nf6 2. c4 c5 3. d5 e6
61	A61	Benoni	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6
62	A62	Benoni, Fianchetto Variation	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O
63	A63	Benoni, Fianchetto, 9...Nbd7	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9
64	A64	Benoni, Fianchetto, 11...Re8	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9
65	A65	Benoni, 6.e4	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4
66	A66	Benoni	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4
67	A67	Benoni, Taimanov Variation	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Bb5+
68	A68	Benoni, Four Pawns Attack	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O
69	A69	Benoni, Four Pawns Attack, Main line	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O 9
70	A70	Benoni, Classical with 7.Nf3	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3
71	A71	Benoni, Classical, 8.Bg5	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Bg5
72	A72	Benoni, Classical without 9.O-O	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O
73	A73	Benoni, Classical, 9.O-O	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9
74	A74	Benoni, Classical, 9...a6, 10.a4	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9
75	A75	Benoni, Classical with ...a6 and 10...Bg4	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9
76	A76	Benoni, Classical, 9...Re8	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9
77	A77	Benoni, Classical, 9...Re8, 10.Nd2	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9
78	A78	Benoni, Classical with ...Re8 and ...Na6	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9
79	A79	Benoni, Classical, 11.f3	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9
80	A80	Dutch	1. d4 f5
81	A81	Dutch	1. d4 f5 2. g3
82	A82	Dutch, Staunton Gambit	1. d4 f5 2. e4
83	A83	Dutch, Staunton Gambit	1. d4 f5 2. e4 fxe4 3. Nc3 Nf6 4. Bg5
84	A84	Dutch	1. d4 f5 2. c4
85	A85	Dutch, with c4 & Nc3	1. d4 f5 2. c4 Nf6 3. Nc3
86	A86	Dutch	1. d4 f5 2. c4 Nf6 3. g3
87	A87	Dutch, Leningrad, Main Variation	1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3
88	A88	Dutch, Leningrad, Main Variation with c6	1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3 O-O 6. O-O d6 7. Nc3 c6
89	A89	Dutch, Leningrad, Main Variation with Nc6	1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3 O-O 6. O-O d6 7. Nc3 Nc6
90	A90	Dutch	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2
91	A91	Dutch Defense	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7
92	A92	Dutch	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O
93	A93	Dutch, Stonewall, Botvinnik Variation	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. b3
94	A94	Dutch, Stonewall with Ba3	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. b3 c6 8. Ba3
95	A95	Dutch, Stonewall	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. Nc3 c6
96	A96	Dutch, Classical Variation	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6
97	A97	Dutch, Ilyin-Genevsky	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8
98	A98	Dutch, Ilyin-Genevsky Variation with Qc2	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. Qc2
99	A99	Dutch, Ilyin-Genevsky Variation with b3	1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. b3
100	B00	Uncommon King's Pawn Opening	1. e4
101	B01	Scandinavian	1. e4 d5
102	B02	Alekhine's Defense	1. e4 Nf6
103	B03	Alekhine's Defense	1. e4 Nf6 2. e5 Nd5 3. d4
104	B04	Alekhine's Defense, Modern	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3
105	B05	Alekhine's Defense, Modern	1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4
106	B06	Robatsch	1. e4 g6
107	B07	Pirc	1. e4 d6 2. d4 Nf6
108	B08	Pirc, Classical	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Nf3
109	B09	Pirc, Austrian Attack	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. f4
110	B10	Caro-Kann	1. e4 c6
111	B11	Caro-Kann, Two Knights, 3...Bg4	1. e4 c6 2. Nc3 d5 3. Nf3 Bg4
112	B12	Caro-Kann Defense	1. e4 c6 2. d4
113	B13	Caro-Kann, Exchange	1. e4 c6 2. d4 d5 3. exd5 cxd5
114	B14	Caro-Kann, Panov-Botvinnik Attack	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 e6
115	B15	Caro-Kann	1. e4 c6 2. d4 d5 3. Nc3
116	B16	Caro-Kann, Bronstein-Larsen Variation	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6
117	B17	Caro-Kann, Steinitz Variation	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nd7
118	B18	Caro-Kann, Classical	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5
119	B19	Caro-Kann, Classical	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5 5. Ng3 Bg6 6. h4 h6 7. Nf3 Nd7
120	B20	Sicilian Defense	1. e4 c5
121	B21	Sicilian, 2.f4 and 2.d4	1. e4 c5 2. f4
122	B22	Sicilian, Alapin	1. e4 c5 2. c3
123	B23	Sicilian, Closed	1. e4 c5 2. Nc3
124	B24	Sicilian, Closed	1. e4 c5 2. Nc3 Nc6 3. g3
125	B25	Sicilian, Closed	1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6
126	B26	Sicilian, Closed, 6.Be3	1. e4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. Be3
127	B27	Sicilian	1. e4 c5 2. Nf3
128	B28	Sicilian, O'Kelly Variation	1. e4 c5 2. Nf3 a6
129	B29	Sicilian, Nimzovich-Rubinstein	1. e4 c5 2. Nf3 Nf6
130	B30	Sicilian	1. e4 c5 2. Nf3 Nc6
131	B31	Sicilian, Rossolimo Variation	1. e4 c5 2. Nf3 Nc6 3. Bb5 g6
132	B32	Sicilian	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5
133	B33	Sicilian	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4
134	B34	Sicilian, Accelerated Fianchetto	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nxc6
135	B35	Sicilian, Accelerated Fianchetto, Modern Variation with Bc4	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Bg7 6. Be3 Nf6 7. Bc4
136	B36	Sicilian, Accelerated Fianchetto	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4
137	B37	Sicilian, Accelerated Fianchetto	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7
138	B38	Sicilian, Accelerated Fianchetto, Maroczy Bind, 6.Be3	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Be3
139	B39	Sicilian, Accelerated Fianchetto, Breyer Variation	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. c4 Bg7 6. Be3 Nf6 7. Nc3 Ng4
140	B40	Sicilian	1. e4 c5 2. Nf3 e6
141	B41	Sicilian, Kan	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6
142	B42	Sicilian, Kan	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3
143	B43	Sicilian, Kan, 5.Nc3	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Nc3
144	B44	Sicilian	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6
145	B45	Sicilian, Taimanov	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3
146	B46	Sicilian, Taimanov Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 a6
147	B47	Sicilian, Taimanov (Bastrikov) Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7
148	B48	Sicilian, Taimanov Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be3
149	B49	Sicilian, Taimanov Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be3 a6 7. Be2
150	B50	Sicilian	1. e4 c5 2. Nf3 d6
151	B51	Sicilian, Canal-Sokolsky (Rossolimo) Attack	1. e4 c5 2. Nf3 d6 3. Bb5+
152	B52	Sicilian, Canal-Sokolsky (Rossolimo) Attack	1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7
153	B53	Sicilian	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Qxd4
154	B54	Sicilian	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4
155	B55	Sicilian, Prins Variation, Venice Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. f3 e5 6. Bb5+
156	B56	Sicilian	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3
157	B57	Sicilian	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bc4
158	B58	Sicilian	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Be2
159	B59	Sicilian, Boleslavsky Variation, 7.Nb3	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Be2 e5 7. Nb3
160	B60	Sicilian, Richter-Rauzer	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5
161	B61	Sicilian, Richter-Rauzer, Larsen Variation, 7.Qd2	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 Bd7 7. Qd2
162	B62	Sicilian, Richter-Rauzer	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6
163	B63	Sicilian, Richter-Rauzer Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2
164	B64	Sicilian, Richter-Rauzer Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 Be7 8. O-O-O O-O 9. f4
165	B65	Sicilian, Richter-Rauzer Attack, 7...Be7 Defense, 9...Nxd4	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 Be7 8. O-O-O O-O 9. f4 Nxd4 10 Qxd4
166	B66	Sicilian, Richter-Rauzer Attack, 7...a6	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 a6
167	B67	Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 a6 8. O-O-O Bd7
168	B68	Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 9...Be7	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 a6 8. O-O-O Bd7 9. f4 Be7
169	B69	Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 11.Bxf6	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 Nc6 6. Bg5 e6 7. Qd2 a6 8. O-O-O Bd7 9. f4 Be7 10 Nf3 b5 11 Bxf6
170	B70	Sicilian, Dragon Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6
171	B71	Sicilian, Dragon, Levenfish Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. f4
172	B72	Sicilian, Dragon	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3
173	B73	Sicilian, Dragon, Classical	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. Be2 Nc6 8. O-O
174	B74	Sicilian, Dragon, Classical	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. Be2 Nc6 8. O-O O-O 9. Nb3
175	B75	Sicilian, Dragon, Yugoslav Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3
176	B76	Sicilian, Dragon, Yugoslav Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 O-O
177	B77	Sicilian, Dragon, Yugoslav Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 O-O 8. Qd2 Nc6 9. Bc4
178	B78	Sicilian, Dragon, Yugoslav Attack, 10.castle long	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 O-O 8. Qd2 Nc6 9. Bc4 Bd7 10 O-O-O
179	B79	Sicilian, Dragon, Yugoslav Attack, 12.h4	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 O-O 8. Qd2 Nc6 9. Bc4 Bd7 10 O-O-O Qa5 11 Bb3 Rfc8 12 h4
180	B80	Sicilian, Scheveningen	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6
181	B81	Sicilian, Scheveningen, Keres Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. g4
182	B82	Sicilian, Scheveningen	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. f4
183	B83	Sicilian	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2
184	B84	Sicilian, Scheveningen	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6
185	B85	Sicilian, Scheveningen, Classical	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Be2 a6 7. O-O Qc7 8. f4 Nc6
186	B86	Sicilian, Fischer-Sozin Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Bc4
187	B87	Sicilian, Fischer-Sozin with ...a6 and ...b5	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Bc4 a6 7. Bb3 b5
188	B88	Sicilian, Fischer-Sozin Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Bc4 Nc6
189	B89	Sicilian	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e6 6. Bc4 Nc6 7. Be3
190	B90	Sicilian, Najdorf	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6
191	B91	Sicilian, Najdorf, Zagreb (Fianchetto) Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. g3
192	B92	Sicilian, Najdorf, Opocensky Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be2
193	B93	Sicilian, Najdorf, 6.f4	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. f4
194	B94	Sicilian, Najdorf	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5
195	B95	Sicilian, Najdorf, 6...e6	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6
196	B96	Sicilian, Najdorf	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4
197	B97	Sicilian, Najdorf	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Qb6
198	B98	Sicilian, Najdorf	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7
199	B99	Sicilian, Najdorf, 7...Be7 Main line	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bg5 e6 7. f4 Be7 8. Qf3 Qc7 9. O-O-O Nbd7
200	C00	French Defense	1. e4 e6
201	C01	French, Exchange	1. e4 e6 2. d4 d5 3. exd5 exd5 4. Nc3 Nf6 5. Bg5
202	C02	French, Advance	1. e4 e6 2. d4 d5 3. e5
203	C03	French, Tarrasch	1. e4 e6 2. d4 d5 3. Nd2
204	C04	French, Tarrasch, Guimard Main line	1. e4 e6 2. d4 d5 3. Nd2 Nc6 4. Ngf3 Nf6
205	C05	French, Tarrasch	1. e4 e6 2. d4 d5 3. Nd2 Nf6
206	C06	French, Tarrasch	1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 c5 6. c3 Nc6 7. Ne2 cxd4 8. cxd4
207	C07	French, Tarrasch	1. e4 e6 2. d4 d5 3. Nd2 c5
208	C08	French, Tarrasch, Open, 4.ed ed	1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5
209	C09	French, Tarrasch, Open Variation, Main line	1. e4 e6 2. d4 d5 3. Nd2 c5 4. exd5 exd5 5. Ngf3 Nc6
210	C10	French	1. e4 e6 2. d4 d5 3. Nc3
211	C11	French	1. e4 e6 2. d4 d5 3. Nc3 Nf6
212	C12	French, McCutcheon	1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Bb4
213	C13	French	1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7
214	C14	French, Classical	1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. Bxe7 Qxe7
215	C15	French, Winawer	1. e4 e6 2. d4 d5 3. Nc3 Bb4
216	C16	French, Winawer	1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5
217	C17	French, Winawer, Advance	1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5
218	C18	French, Winawer	1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3
219	C19	French, Winawer, Advance	1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. a3 Bxc3+ 6. bxc3 Ne7
220	C20	King's Pawn Game	1. e4 e5
221	C21	Center Game	1. e4 e5 2. d4 exd4
222	C22	Center Game	1. e4 e5 2. d4 exd4 3. Qxd4 Nc6
223	C23	Bishop's Opening	1. e4 e5 2. Bc4
224	C24	Bishop's Opening	1. e4 e5 2. Bc4 Nf6
225	C25	Vienna	1. e4 e5 2. Nc3
226	C26	Vienna	1. e4 e5 2. Nc3 Nf6
227	C27	Vienna Game	1. e4 e5 2. Nc3 Nf6 3. Bc4 Nxe4
228	C28	Vienna Game	1. e4 e5 2. Nc3 Nf6 3. Bc4 Nc6
229	C29	Vienna Gambit	1. e4 e5 2. Nc3 Nf6 3. f4
230	C30	King's Gambit Declined	1. e4 e5 2. f4
231	C31	King's Gambit Declined, Falkbeer Counter Gambit	1. e4 e5 2. f4 d5
